user_id,registration_date,country,device_type,days_since_registration,user_segment,is_active,orders_count,segment
1,2025-08-06,Russia,Android,207,Android_Russia,1,0.0,Android_Russia
2,2025-10-30,Belarus,Android,122,Android_Belarus,1,3.0,Android_Belarus
3,2025-09-06,Kazakhstan,Ios,176,Ios_Kazakhstan,1,3.0,Ios_Kazakhstan
4,2025-04-21,Kazakhstan,Android,314,Android_Kazakhstan,1,3.0,Android_Kazakhstan
5,2025-04-23,Kazakhstan,Android,312,Android_Kazakhstan,1,2.0,Android_Kazakhstan
6,2025-07-29,Belarus,Ios,215,Ios_Belarus,1,1.0,Ios_Belarus
7,2025-04-13,Kazakhstan,Ios,322,Ios_Kazakhstan,1,1.0,Ios_Kazakhstan
8,2025-07-08,Russia,Ios,236,Ios_Russia,1,0.0,Ios_Russia
9,2025-07-06,Kazakhstan,Android,238,Android_Kazakhstan,1,1.0,Android_Kazakhstan
10,2025-11-09,Belarus,Android,112,Android_Belarus,1,1.0,Android_Belarus
11,2025-06-14,Belarus,Android,260,Android_Belarus,1,0.0,Android_Belarus
12,2025-11-15,Kazakhstan,Android,106,Android_Kazakhstan,1,0.0,Android_Kazakhstan
13,2025-06-18,Russia,Ios,256,Ios_Russia,1,2.0,Ios_Russia
14,2025-07-30,Belarus,Ios,214,Ios_Belarus,1,0.0,Ios_Belarus
15,2025-10-18,Kazakhstan,Android,134,Android_Kazakhstan,1,2.0,Android_Kazakhstan
16,2025-08-29,Belarus,Ios,184,Ios_Belarus,1,0.0,Ios_Belarus
17,2025-08-31,Kazakhstan,Ios,182,Ios_Kazakhstan,1,2.0,Ios_Kazakhstan
18,2025-10-19,Kazakhstan,Ios,133,Ios_Kazakhstan,1,0.0,Ios_Kazakhstan
19,2025-07-15,Russia,Android,229,Android_Russia,1,0.0,Android_Russia
20,2025-01-25,Kazakhstan,Android,400,Android_Kazakhstan,1,0.0,Android_Kazakhstan
21,2025-08-08,Kazakhstan,Android,205,Android_Kazakhstan,1,2.0,Android_Kazakhstan
22,2025-02-06,Russia,Ios,388,Ios_Russia,1,0.0,Ios_Russia
23,2025-08-23,Belarus,Android,190,Android_Belarus,1,1.0,Android_Belarus
24,2025-07-04,Belarus,Ios,240,Ios_Belarus,1,2.0,Ios_Belarus
25,2025-06-18,Belarus,Android,256,Android_Belarus,1,1.0,Android_Belarus
26,2025-09-12,Russia,Ios,170,Ios_Russia,1,0.0,Ios_Russia
27,2025-04-02,Russia,Ios,333,Ios_Russia,1,2.0,Ios_Russia
28,2025-01-11,Kazakhstan,Ios,414,Ios_Kazakhstan,1,0.0,Ios_Kazakhstan
29,2025-07-26,Russia,Android,218,Android_Russia,1,2.0,Android_Russia
30,2025-05-21,Russia,Ios,284,Ios_Russia,1,1.0,Ios_Russia
31,2025-03-03,Russia,Ios,363,Ios_Russia,1,3.0,Ios_Russia
32,2025-06-10,Russia,Ios,264,Ios_Russia,1,3.0,Ios_Russia
33,2025-03-30,Russia,Ios,336,Ios_Russia,1,0.0,Ios_Russia
34,2025-09-25,Russia,Ios,157,Ios_Russia,1,2.0,Ios_Russia
35,2025-01-02,Kazakhstan,Android,423,Android_Kazakhstan,1,0.0,Android_Kazakhstan
36,2025-02-05,Kazakhstan,Android,389,Android_Kazakhstan,1,1.0,Android_Kazakhstan
37,2025-03-25,Belarus,Android,341,Android_Belarus,1,3.0,Android_Belarus
38,2025-01-27,Russia,Android,398,Android_Russia,1,1.0,Android_Russia
39,2025-06-17,Russia,Ios,257,Ios_Russia,1,2.0,Ios_Russia
40,2025-11-22,Belarus,Android,99,Android_Belarus,1,0.0,Android_Belarus
41,2025-01-30,Belarus,Ios,395,Ios_Belarus,1,0.0,Ios_Belarus
42,2025-07-07,Kazakhstan,Android,237,Android_Kazakhstan,1,1.0,Android_Kazakhstan
43,2025-01-04,Belarus,Android,421,Android_Belarus,1,1.0,Android_Belarus
44,2025-10-15,Russia,Android,137,Android_Russia,1,0.0,Android_Russia
45,2025-06-22,Belarus,Android,252,Android_Belarus,1,2.0,Android_Belarus
46,2025-12-24,Belarus,Ios,67,Ios_Belarus,1,0.0,Ios_Belarus
47,2025-04-29,Russia,Android,306,Android_Russia,1,1.0,Android_Russia
48,2025-08-11,Belarus,Android,202,Android_Belarus,1,1.0,Android_Belarus
49,2025-01-07,Kazakhstan,Ios,418,Ios_Kazakhstan,1,0.0,Ios_Kazakhstan
50,2025-03-23,Belarus,Ios,343,Ios_Belarus,1,2.0,Ios_Belarus
