event_id,user_id,event_type,product_id,event_time,session_id,experiment_group
1,632,add_to_cart,161,2025-08-25,8908,A
2,1018,app_open,80,2025-11-13,13862,B
3,1191,add_to_cart,136,2025-03-06,18478,B
4,2801,add_to_cart,82,2025-07-29,8338,A
5,3425,app_open,84,2025-10-25,14883,B
6,781,view_product,97,2025-04-19,2244,B
7,4387,add_to_cart,177,2025-01-24,13505,A
8,4603,view_product,99,2025-02-06,5212,A
9,711,app_open,1,2025-02-12,8775,A
10,4445,app_open,108,2025-12-22,9062,B
11,3264,view_product,139,2025-02-25,10008,B
12,2451,view_product,123,2025-09-22,15107,A
13,1121,purchase,184,2025-04-21,17513,A
14,1529,add_to_cart,83,2025-03-16,4200,A
15,3691,add_to_cart,118,2025-12-21,11724,B
16,1747,view_product,19,2025-12-09,7730,B
17,3477,add_to_cart,92,2025-04-27,15479,B
18,3934,app_open,56,2025-09-15,12072,A
19,2790,view_product,153,2025-01-23,3658,B
20,2823,add_to_cart,154,2025-04-11,13676,B
21,57,view_product,165,2025-01-31,18151,A
22,2541,view_product,55,2025-01-10,16911,B
23,2121,app_open,200,2025-10-02,2915,B
24,3011,view_product,8,2025-03-12,1354,B
25,2392,view_product,32,2025-01-25,14040,A
26,2765,app_open,30,2025-07-28,18586,B
27,3929,purchase,16,2025-04-25,3698,B
28,2457,view_product,47,2025-11-03,4082,A
29,1270,add_to_cart,162,2025-05-02,2139,B
30,3875,view_product,121,2025-06-25,6336,B
31,2093,add_to_cart,85,2025-06-25,10997,A
32,3661,view_product,152,2025-09-26,2489,B
33,378,purchase,62,2025-06-05,11499,B
34,4005,app_open,113,2025-08-15,3912,A
35,1871,view_product,9,2025-12-15,10747,B
36,1169,app_open,117,2025-11-02,12473,A
37,3355,view_product,148,2025-10-23,18765,A
38,3022,app_open,79,2025-02-10,18531,A
39,2416,purchase,179,2025-11-21,13891,A
40,3670,purchase,95,2025-08-28,915,B
41,1374,app_open,87,2025-11-24,5317,B
42,4106,add_to_cart,140,2025-03-16,6046,A
43,3119,view_product,173,2025-03-16,866,A
44,1257,view_product,177,2025-09-01,17039,A
45,4234,view_product,195,2025-06-26,17589,A
46,4855,view_product,174,2025-04-08,1833,B
47,1506,purchase,156,2025-12-31,3311,B
48,2592,app_open,172,2025-11-15,9175,B
49,3995,view_product,131,2025-08-30,12794,B
50,3029,view_product,19,2025-12-29,874,A
51,4588,app_open,167,2025-05-22,1981,A
52,2493,add_to_cart,32,2025-07-12,12848,A
53,147,app_open,114,2025-03-03,13336,B
54,2907,view_product,197,2025-10-11,17723,B
55,4658,app_open,178,2025-03-16,9667,B
56,3480,add_to_cart,193,2025-07-04,16266,B
57,3201,app_open,97,2025-05-14,3969,A
58,4285,view_product,62,2025-10-28,14641,B
59,1816,view_product,156,2025-07-03,13100,A
60,1296,app_open,138,2025-05-26,14785,B
61,320,purchase,135,2025-06-21,16104,B
62,3131,view_product,103,2025-03-13,5983,B
63,4158,purchase,122,2025-02-14,14424,B
64,4310,add_to_cart,104,2025-10-19,17623,B
65,2273,view_product,136,2025-05-27,4135,B
66,1038,purchase,41,2025-03-07,16149,A
67,4386,app_open,182,2025-10-12,887,B
68,1610,view_product,177,2025-06-04,11606,B
69,2345,add_to_cart,27,2025-10-24,18083,A
70,3913,app_open,129,2025-06-21,2082,B
71,1134,app_open,64,2025-11-24,14889,A
72,2210,view_product,173,2025-08-01,15349,A
73,53,app_open,74,2025-04-02,1603,A
74,2613,app_open,114,2025-08-09,10946,A
75,4214,view_product,148,2025-07-17,12633,B
76,3534,app_open,111,2025-04-15,9892,A
77,3413,app_open,81,2025-05-18,8523,B
78,395,add_to_cart,15,2025-04-23,8776,A
79,3994,add_to_cart,86,2025-05-26,18113,A
80,1261,app_open,45,2025-12-19,14830,B
81,3713,view_product,47,2025-02-28,19997,A
82,3413,add_to_cart,7,2025-07-29,14473,B
83,2119,purchase,172,2025-02-25,658,A
84,617,add_to_cart,31,2025-10-19,19602,A
85,1702,purchase,177,2025-01-02,11652,B
86,2578,app_open,154,2025-08-25,1395,A
87,1876,app_open,132,2025-06-17,19050,A
88,1067,app_open,137,2025-09-25,3725,A
89,2753,view_product,114,2025-03-11,12650,B
90,2131,add_to_cart,180,2025-05-07,15160,A
91,3758,app_open,126,2025-08-29,8327,B
92,3614,app_open,19,2025-10-17,386,B
93,1701,add_to_cart,175,2025-03-11,3798,A
94,3186,view_product,186,2025-10-19,15910,B
95,1217,view_product,70,2025-10-29,9029,A
96,334,app_open,98,2025-12-01,9225,B
97,535,add_to_cart,85,2025-04-16,11749,A
98,3976,purchase,88,2025-02-10,16908,A
99,2580,view_product,104,2025-12-16,4269,B
100,2943,app_open,28,2025-04-10,16121,A
101,3605,add_to_cart,15,2025-08-19,10091,A
102,3102,add_to_cart,9,2025-06-03,14858,B
103,2386,purchase,30,2025-09-12,15901,B
104,863,add_to_cart,142,2025-01-27,14096,A
105,2798,app_open,46,2025-05-01,15504,B
106,472,app_open,50,2025-07-03,5521,A
107,261,add_to_cart,24,2025-01-02,19695,B
108,4084,view_product,153,2025-06-14,17687,A
109,812,app_open,143,2025-04-12,5327,B
110,1985,view_product,101,2025-10-05,4082,A
