user_id,registration_date,country,device_type,days_since_registration,user_segment
1,2025-07-23,Belarus,Android,221,Android_Belarus
2,2025-03-12,Russia,Android,354,Android_Russia
3,2025-12-30,Russia,Ios,61,Ios_Russia
4,2025-06-04,Belarus,Ios,270,Ios_Belarus
5,2025-06-18,Russia,Ios,256,Ios_Russia
6,2025-06-28,Belarus,Android,246,Android_Belarus
7,2025-09-28,Russia,Android,154,Android_Russia
8,2025-10-03,Kazakhstan,Android,149,Android_Kazakhstan
9,2025-07-31,Belarus,Ios,213,Ios_Belarus
10,2025-11-10,Kazakhstan,Android,111,Android_Kazakhstan
11,2025-07-09,Belarus,Ios,235,Ios_Belarus
12,2025-10-30,Belarus,Android,122,Android_Belarus
13,2025-05-24,Russia,Ios,281,Ios_Russia
14,2025-11-09,Belarus,Ios,112,Ios_Belarus
15,2025-04-21,Russia,Ios,314,Ios_Russia
16,2025-03-29,Russia,Android,337,Android_Russia
17,2025-08-06,Russia,Ios,207,Ios_Russia
18,2025-05-10,Kazakhstan,Android,295,Android_Kazakhstan
19,2025-02-27,Belarus,Android,367,Android_Belarus
20,2025-07-23,Kazakhstan,Android,221,Android_Kazakhstan
21,2025-05-03,Kazakhstan,Ios,302,Ios_Kazakhstan
22,2025-08-20,Russia,Android,193,Android_Russia
23,2025-02-11,Kazakhstan,Ios,383,Ios_Kazakhstan
24,2025-05-13,Kazakhstan,Ios,292,Ios_Kazakhstan
25,2025-08-05,Belarus,Ios,208,Ios_Belarus
26,2025-02-08,Russia,Android,386,Android_Russia
27,2025-08-19,Russia,Android,194,Android_Russia
28,2025-08-08,Kazakhstan,Android,205,Android_Kazakhstan
29,2025-02-12,Kazakhstan,Ios,382,Ios_Kazakhstan
30,2025-07-05,Russia,Android,239,Android_Russia
31,2025-09-30,Russia,Ios,152,Ios_Russia
32,2025-02-22,Belarus,Android,372,Android_Belarus
33,2025-07-26,Kazakhstan,Android,218,Android_Kazakhstan
34,2025-06-25,Kazakhstan,Ios,249,Ios_Kazakhstan
35,2025-04-11,Russia,Ios,324,Ios_Russia
36,2025-03-16,Kazakhstan,Android,350,Android_Kazakhstan
37,2025-11-04,Belarus,Ios,117,Ios_Belarus
38,2025-01-21,Russia,Ios,404,Ios_Russia
39,2025-02-13,Kazakhstan,Android,381,Android_Kazakhstan
40,2025-12-17,Kazakhstan,Android,74,Android_Kazakhstan
41,2025-01-24,Kazakhstan,Android,401,Android_Kazakhstan
42,2025-12-08,Kazakhstan,Android,83,Android_Kazakhstan
43,2025-12-03,Belarus,Android,88,Android_Belarus
44,2025-11-07,Belarus,Ios,114,Ios_Belarus
45,2025-07-20,Kazakhstan,Android,224,Android_Kazakhstan
46,2025-08-03,Russia,Android,210,Android_Russia
47,2025-12-03,Kazakhstan,Ios,88,Ios_Kazakhstan
48,2025-11-10,Kazakhstan,Android,111,Android_Kazakhstan
49,2025-01-04,Kazakhstan,Android,421,Android_Kazakhstan
50,2025-06-08,Belarus,Ios,266,Ios_Belarus
51,2025-10-12,Russia,Android,140,Android_Russia
52,2025-04-03,Kazakhstan,Android,332,Android_Kazakhstan
53,2025-11-26,Russia,Ios,95,Ios_Russia
54,2025-02-14,Kazakhstan,Android,380,Android_Kazakhstan
55,2025-02-12,Russia,Android,382,Android_Russia
