user_id,registration_date,country,device_type
1,2025-07-23,Belarus,Android
2,2025-03-12,Russia,Android
3,2025-12-30,Russia,Ios
4,2025-06-04,Belarus,Ios
5,2025-06-18,Russia,Ios
6,2025-06-28,Belarus,Android
7,2025-09-28,Russia,Android
8,2025-10-03,Kazakhstan,Android
9,2025-07-31,Belarus,Ios
10,2025-11-10,Kazakhstan,Android
11,2025-07-09,Belarus,Ios
12,2025-10-30,Belarus,Android
13,2025-05-24,Russia,Ios
14,2025-11-09,Belarus,Ios
15,2025-04-21,Russia,Ios
16,2025-03-29,Russia,Android
17,2025-08-06,Russia,Ios
18,2025-05-10,Kazakhstan,Android
19,2025-02-27,Belarus,Android
20,2025-07-23,Kazakhstan,Android
21,2025-05-03,Kazakhstan,Ios
22,2025-08-20,Russia,Android
23,2025-02-11,Kazakhstan,Ios
24,2025-05-13,Kazakhstan,Ios
25,2025-08-05,Belarus,Ios
26,2025-02-08,Russia,Android
27,2025-08-19,Russia,Android
28,2025-08-08,Kazakhstan,Android
29,2025-02-12,Kazakhstan,Ios
30,2025-07-05,Russia,Android
31,2025-09-30,Russia,Ios
32,2025-02-22,Belarus,Android
33,2025-07-26,Kazakhstan,Android
34,2025-06-25,Kazakhstan,Ios
35,2025-04-11,Russia,Ios
36,2025-03-16,Kazakhstan,Android
37,2025-11-04,Belarus,Ios
38,2025-01-21,Russia,Ios
39,2025-02-13,Kazakhstan,Android
40,2025-12-17,Kazakhstan,Android
41,2025-01-24,Kazakhstan,Android
42,2025-12-08,Kazakhstan,Android
43,2025-12-03,Belarus,Android
44,2025-11-07,Belarus,Ios
45,2025-07-20,Kazakhstan,Android
46,2025-08-03,Russia,Android
47,2025-12-03,Kazakhstan,Ios
48,2025-11-10,Kazakhstan,Android
49,2025-01-04,Kazakhstan,Android
50,2025-06-08,Belarus,Ios
51,2025-10-12,Russia,Android
52,2025-04-03,Kazakhstan,Android
53,2025-11-26,Russia,Ios
54,2025-02-14,Kazakhstan,Android
55,2025-02-12,Russia,Android
56,2025-10-08,Russia,Android
57,2025-07-18,Belarus,Ios
58,2025-08-11,Kazakhstan,Android
59,2025-06-22,Belarus,Ios
60,2025-11-05,Kazakhstan,Ios
61,2025-06-22,Russia,Android
62,2025-03-03,Russia,Android
63,2025-07-01,Russia,Ios
64,2025-11-23,Belarus,Android
65,2025-01-28,Belarus,Android
66,2025-01-01,Belarus,Android
67,2025-10-06,Kazakhstan,Ios
68,2025-10-15,Kazakhstan,Android
69,2025-08-26,Kazakhstan,Android
70,2025-11-27,Kazakhstan,Ios
71,2025-08-14,Kazakhstan,Android
72,2025-05-31,Kazakhstan,Ios
73,2025-06-05,Russia,Android
74,2025-12-01,Russia,Android
75,2025-02-12,Kazakhstan,Ios
76,2025-11-20,Belarus,Android
77,2025-01-20,Russia,Ios
78,2025-02-07,Kazakhstan,Android
79,2025-05-25,Kazakhstan,Ios
80,2025-03-15,Russia,Android
81,2025-04-23,Russia,Android
82,2025-03-03,Belarus,Ios
83,2025-01-26,Russia,Android
84,2025-06-04,Russia,Ios
85,2025-11-22,Belarus,Ios
86,2025-05-22,Kazakhstan,Android
87,2025-12-26,Russia,Ios
88,2025-08-28,Kazakhstan,Ios
89,2025-03-08,Kazakhstan,Ios
90,2025-02-17,Kazakhstan,Ios
91,2025-10-18,Belarus,Android
92,2025-05-06,Belarus,Ios
93,2025-12-09,Russia,Ios
94,2025-04-08,Russia,Ios
95,2025-06-25,Kazakhstan,Ios
96,2025-07-28,Belarus,Ios
97,2025-05-06,Kazakhstan,Android
98,2025-10-22,Kazakhstan,Android
99,2025-11-07,Belarus,Android
100,2025-12-24,Belarus,Android
101,2025-06-09,Russia,Ios
102,2025-12-05,Belarus,Android
103,2025-03-13,Russia,Android
104,2025-10-21,Belarus,Ios
105,2025-05-18,Russia,Android
106,2025-02-28,Kazakhstan,Ios
107,2025-01-26,Russia,Ios
108,2025-06-03,Belarus,Android
109,2025-07-12,Kazakhstan,Android
110,2025-11-27,Belarus,Android
111,2025-07-19,Kazakhstan,Android
112,2025-02-26,Belarus,Android
113,2025-10-15,Russia,Ios
114,2025-11-04,Kazakhstan,Android
115,2025-03-22,Belarus,Android
116,2025-10-12,Belarus,Ios
117,2025-09-14,Belarus,Android
118,2025-11-28,Belarus,Ios
119,2025-03-16,Kazakhstan,Ios
120,2025-01-31,Russia,Android
121,2025-02-11,Russia,Android
122,2025-04-01,Russia,Android
123,2025-05-02,Kazakhstan,Android
124,2025-11-12,Kazakhstan,Android
125,2025-08-07,Kazakhstan,Ios
126,2025-10-24,Belarus,Ios
127,2025-05-28,Belarus,Ios
128,2025-11-21,Kazakhstan,Ios
129,2025-08-24,Russia,Android
130,2025-07-19,Belarus,Ios
131,2025-04-14,Russia,Ios
132,2025-06-01,Russia,Android
133,2025-01-29,Belarus,Android
134,2025-02-10,Russia,Android
135,2025-05-04,Belarus,Ios
136,2025-09-03,Russia,Android
137,2025-02-10,Belarus,Android
138,2025-05-30,Russia,Android
139,2025-11-26,Belarus,Android
140,2025-03-16,Russia,Ios
141,2025-07-11,Belarus,Ios
142,2025-10-10,Belarus,Android
143,2025-02-08,Russia,Android
144,2025-03-02,Belarus,Ios
